Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
PXDC1	C6orf145	ENSG00000168994	PX domain containing 1	6	3722614-3752026	Predicted intracellular proteins	Evidence at protein level	HPA019246			Approved	Plasma membrane	Endometrial cancer:1.14e-4 (unfavourable), Colorectal cancer:3.64e-4 (unfavourable)	Expressed in all	Mixed			placenta: 82.7	Mixed		
TMPRSS3	DFNB10, DFNB8	ENSG00000160183	Transmembrane protease, serine 3	21	42371890-42396846	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level						Colorectal cancer:3.64e-4 (unfavourable), Renal cancer:8.24e-4 (unfavourable)	Mixed	Tissue enhanced		fallopian tube: 35.2	stomach: 13.7	Cell line enhanced		HEL: 58.2;SiHa: 35.3;U-266/84: 182.5
PRKRIP1	C114, FLJ13902, KRBOX3	ENSG00000128563	PRKR interacting protein 1 (IL11 inducible)	7	102363872-102426676	Predicted intracellular proteins	Evidence at protein level	HPA051146	Uncertain		Supported	Actin filaments<br>Cytosol	Urothelial cancer:1.94e-4 (favourable), Colorectal cancer:3.65e-4 (unfavourable), Renal cancer:4.39e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 34.7	Expressed in all		
AOC3	HPAO, VAP-1, VAP1	ENSG00000131471	Amine oxidase, copper containing 3	17	42851184-42858130	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000980, CAB025797	Enhanced		Approved	Golgi apparatus<br>Cytosol	Renal cancer:1.79e-5 (unfavourable), Colorectal cancer:3.68e-4 (unfavourable), Urothelial cancer:6.98e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 450.1	smooth muscle: 205.7	Cell line enriched	17	ASC diff: 210.1
SCT		ENSG00000070031	Secretin	11	626431-627143	Predicted secreted proteins	Evidence at protein level	HPA050961	Enhanced				Colorectal cancer:3.70e-4 (unfavourable)	Mixed	Group enriched	6	duodenum: 34.9;small intestine: 7.8	spleen: 3.4	Cell line enhanced		HSkMC: 1.1
CBX7		ENSG00000100307	Chromobox 7	22	39120167-39152674	Predicted intracellular proteins	Evidence at protein level	CAB011574, HPA048677, HPA056480	Enhanced		Supported	Nucleoplasm<br>Cytosol	Renal cancer:2.45e-5 (favourable), Pancreatic cancer:1.04e-4 (favourable), Cervical cancer:3.63e-4 (favourable), Colorectal cancer:3.73e-4 (unfavourable), Breast cancer:6.18e-4 (favourable)	Expressed in all	Expressed in all			seminal vesicle: 81.6	Cell line enhanced		HDLM-2: 34.6
LMNTD2	C11orf35, MGC35138	ENSG00000185522	Lamin tail domain containing 2	11	554855-560779	Predicted intracellular proteins	Evidence at protein level	HPA058474, HPA073912	Uncertain		Approved	Cytoplasmic bodies	Colorectal cancer:3.75e-4 (unfavourable)	Mixed	Mixed			thyroid gland: 9.4	Cell line enhanced		AN3-CA: 4.1;T-47d: 4.6
CLK2	clk2	ENSG00000176444	CDC like kinase 2	1	155262868-155278491	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA055366, HPA059507	Approved		Enhanced	Nucleoplasm<br>Nuclear bodies	Renal cancer:2.95e-9 (unfavourable), Liver cancer:2.82e-4 (unfavourable), Colorectal cancer:3.77e-4 (unfavourable), Urothelial cancer:5.43e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 26.8	Expressed in all		
PABPC1L	C20orf119, dJ1069P2.3, ePAB, PABPC1L1	ENSG00000101104	Poly(A) binding protein cytoplasmic 1 like	20	44910062-44959035	Predicted intracellular proteins	Evidence at protein level	HPA066650			Approved	Nuclear bodies<br>Cytosol	Renal cancer:4.00e-15 (unfavourable), Colorectal cancer:3.80e-4 (unfavourable), Urothelial cancer:8.84e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 54.1	Expressed in all		
HIST1H2BD	H2B/b, H2BFB	ENSG00000158373	Histone cluster 1 H2B family member d	6	26158146-26171349	Predicted intracellular proteins	Evidence at protein level	HPA042205, HPA043013, HPA048671, CAB062336	Supported		Approved	Nucleoplasm<br>Cytosol	Colorectal cancer:3.84e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 90.2	Expressed in all		
NFKB2	LYT-10, NF-kB2, p105, p49/p100, p52	ENSG00000077150	Nuclear factor kappa B subunit 2	10	102394110-102402529	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA008422, CAB022098, HPA023900	Enhanced		Approved	Nucleoplasm<br>Cytosol	Renal cancer:6.69e-12 (unfavourable), Melanoma:8.45e-5 (favourable), Colorectal cancer:3.86e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 70.7	Expressed in all		
PPP1R26	KIAA0649	ENSG00000196422	Protein phosphatase 1 regulatory subunit 26	9	135479079-135488893	Predicted intracellular proteins	Evidence at protein level	HPA044686, HPA063817	Uncertain		Enhanced	Nucleoplasm	Renal cancer:6.20e-13 (favourable), Colorectal cancer:3.98e-4 (unfavourable), Pancreatic cancer:6.93e-4 (favourable), Endometrial cancer:9.91e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 27.6	Mixed		
SPARCL1	MAST9	ENSG00000152583	SPARC like 1	4	87473335-87531061	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB026225	Enhanced				Urothelial cancer:3.33e-4 (unfavourable), Colorectal cancer:4.06e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 2035.8	Cell line enhanced		AF22: 23.6;U-266/70: 7.1
PLEC	EBS1, PCN, PLEC1, PLTN	ENSG00000178209	Plectin	8	143915147-143976734	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB003847, HPA025967, HPA029906	Enhanced		Enhanced	Intermediate filaments<br>Focal adhesion sites<br>Cytosol	Renal cancer:7.98e-6 (unfavourable), Colorectal cancer:4.29e-4 (unfavourable), Lung cancer:5.33e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 94.8	Expressed in all		
EPHB4	HTK, Tyro11	ENSG00000196411	EPH receptor B4	7	100802565-100827521	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013537	Uncertain				Colorectal cancer:4.33e-4 (unfavourable), Breast cancer:8.56e-4 (unfavourable), Urothelial cancer:8.84e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 50.6	Mixed		
ENDOV	FLJ35220	ENSG00000173818	Endonuclease V	17	80415165-80438086	Predicted intracellular proteins	Evidence at protein level						Breast cancer:4.24e-5 (favourable), Colorectal cancer:4.40e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 22.2	Mixed		
EPS8L1	DRC3, FLJ20258, MGC23164, MGC4642	ENSG00000131037	EPS8 like 1	19	55072020-55087923	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA041851, HPA043545	Uncertain		Supported	Cytosol	Colorectal cancer:4.44e-4 (unfavourable)	Mixed	Tissue enhanced		skin: 18.4;stomach: 23.5	esophagus: 9.0	Cell line enhanced		BEWO: 51.9;T-47d: 24.8
TNFRSF25	APO-3, DDR3, DR3, LARD, TNFRSF12, TR3, TRAMP, WSL-1, WSL-LR	ENSG00000215788	TNF receptor superfamily member 25	1	6461151-6466195	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA069834			Approved	Nucleus<br>Plasma membrane<br>Actin filaments<br>Focal adhesion sites	Renal cancer:1.65e-7 (unfavourable), Head and neck cancer:3.09e-4 (favourable), Colorectal cancer:4.46e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 29.6	spleen: 12.1	Cell line enhanced		HDLM-2: 24.6;RPMI-8226: 17.9
PCGF2	MEL-18, RNF110, ZNF144	ENSG00000277258	Polycomb group ring finger 2	17	38733897-38749817	Predicted intracellular proteins	Evidence at protein level	HPA047732, HPA063531	Uncertain		Supported	Nucleus	Colorectal cancer:4.55e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 20.1	Mixed		
SHC2	SCK, SHCB, SLI	ENSG00000129946	SHC adaptor protein 2	19	416583-460996	Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA006136	Approved		Approved	Cytosol	Colorectal cancer:4.58e-4 (unfavourable), Pancreatic cancer:8.53e-4 (favourable)	Expressed in all	Mixed			cerebral cortex: 18.7	Cell line enhanced		SCLC-21H: 14.8;SH-SY5Y: 12.0
TNNT1	ANM, FLJ98147, MGC104241, NEM5, STNT, TNT, TNTS	ENSG00000105048	Troponin T1, slow skeletal type	19	55132794-55149354	Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB015168, HPA058448	Enhanced		Approved	Nucleus<br>Golgi apparatus<br>Cytosol	Renal cancer:0.00e+0 (unfavourable), Pancreatic cancer:2.53e-4 (unfavourable), Colorectal cancer:4.66e-4 (unfavourable), Endometrial cancer:4.66e-4 (unfavourable)	Expressed in all	Tissue enriched	12	skeletal muscle: 7568.7	esophagus: 632.9	Cell line enhanced		HMC-1: 728.7;RH-30: 606.8
PPP1R18	KIAA1949, phostensin	ENSG00000146112	Protein phosphatase 1 regulatory subunit 18	6	30676389-30687895	Predicted intracellular proteins	Evidence at protein level	HPA044745, HPA051000	Enhanced		Approved	Nucleoplasm<br>Plasma membrane	Renal cancer:1.11e-16 (unfavourable), Colorectal cancer:4.71e-4 (unfavourable)	Expressed in all	Tissue enhanced		lymph node: 53.3	spleen: 35.1	Mixed		
FASTK	FAST	ENSG00000164896	Fas activated serine/threonine kinase	7	151076593-151080866	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA031621, CAB032539	Approved		Approved	Nuclear speckles<br>Mitochondria	Pancreatic cancer:3.99e-4 (favourable), Colorectal cancer:4.73e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 41.7	Expressed in all		
SNAI1	SLUGH2, SNA, SNAH, SNAIL, SNAIL1	ENSG00000124216	Snail family transcriptional repressor 1	20	49982999-49988886	Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB005883, HPA056831, HPA069985, CAB078687	Supported		Supported	Nucleus<br>Cytosol	Renal cancer:2.63e-7 (unfavourable), Thyroid cancer:8.82e-7 (unfavourable), Lung cancer:1.61e-5 (unfavourable), Colorectal cancer:4.76e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 26.2	thyroid gland: 13.4	Cell line enhanced		SiHa: 30.1;TIME: 32.4;WM-115: 25.0
DNAJB12	DJ10, FLJ20027	ENSG00000148719	DnaJ heat shock protein family (Hsp40) member B12	10	72332830-72355230	Predicted membrane proteins	Evidence at protein level	HPA010642	Approved		Supported	Endoplasmic reticulum	Colorectal cancer:4.79e-4 (unfavourable), Head and neck cancer:8.17e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 48.0	Expressed in all		
HYI	HT036	ENSG00000178922	Hydroxypyruvate isomerase (putative)	1	43451003-43453989	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA040092	Uncertain		Approved	Golgi apparatus<br>Plasma membrane<br>Cytosol	Urothelial cancer:2.72e-5 (favourable), Renal cancer:2.75e-5 (unfavourable), Colorectal cancer:4.96e-4 (unfavourable), Liver cancer:5.55e-4 (unfavourable), Breast cancer:9.18e-4 (favourable)	Expressed in all	Expressed in all			seminal vesicle: 81.4	Mixed		
ADAMTSL2	KIAA0605	ENSG00000197859	ADAMTS like 2	9	133532164-133575519	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045634, HPA053812	Approved		Approved	Vesicles	Colorectal cancer:5.01e-4 (unfavourable), Pancreatic cancer:6.70e-4 (favourable)	Expressed in all	Tissue enhanced		adrenal gland: 29.0	kidney: 11.2	Cell line enhanced		Hep G2: 4.9;RPMI-8226: 6.9;SH-SY5Y: 31.9
MFNG		ENSG00000100060	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	22	37469063-37486401	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA048936, HPA056479	Approved		Uncertain	Actin filaments	Renal cancer:3.31e-5 (unfavourable), Endometrial cancer:1.65e-4 (favourable), Colorectal cancer:5.12e-4 (unfavourable)	Expressed in all	Mixed			lymph node: 68.5	Cell line enhanced		HL-60: 153.4;HMC-1: 213.3;HUVEC TERT2: 166.4;U-937: 134.0
TFPT	amida, FB1, INO80F	ENSG00000105619	TCF3 fusion partner	19	54107013-54115675	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA034958, HPA058534	Approved		Supported	Nucleoplasm<br>Nuclear membrane	Pancreatic cancer:3.13e-4 (favourable), Colorectal cancer:5.13e-4 (unfavourable), Liver cancer:5.25e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 10.6	Mixed		
ZNF385A	DKFZp586G1122, Hzf, ZFP385, ZNF385	ENSG00000161642	Zinc finger protein 385A	12	54369133-54391298	Predicted intracellular proteins	Evidence at protein level	HPA039799			Supported	Nucleus<br>Cytosol	Renal cancer:9.75e-5 (unfavourable), Colorectal cancer:5.20e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 170.0	cerebral cortex: 66.1	Cell line enhanced		HEL: 98.3
ADAP1	CENTA1, GCS1L	ENSG00000105963	ArfGAP with dual PH domains 1	7	897901-955407	Predicted intracellular proteins	Evidence at protein level	HPA007033, HPA012049	Enhanced		Supported	Plasma membrane<br>Cytosol	Renal cancer:4.13e-5 (favourable), Colorectal cancer:5.25e-4 (unfavourable), Head and neck cancer:9.13e-4 (unfavourable)	Expressed in all	Tissue enhanced		cerebral cortex: 80.4	colon: 37.9	Cell line enhanced		A-431: 97.9;CAPAN-2: 69.1;HMC-1: 64.7;THP-1: 87.7
ABHD8	FLJ11743, MGC14280, MGC2512	ENSG00000127220	Abhydrolase domain containing 8	19	17292131-17310236	Predicted intracellular proteins	Evidence at protein level	HPA037658, HPA058209	Approved		Approved	Nucleoplasm<br>Nuclear bodies	Pancreatic cancer:3.04e-5 (favourable), Colorectal cancer:5.25e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 28.5	Cell line enhanced		PC-3: 48.7
MOGS	CWH41, DER7, GCS1	ENSG00000115275	Mannosyl-oligosaccharide glucosidase	2	74461057-74465410	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011322, HPA011969	Approved		Enhanced	Endoplasmic reticulum	Renal cancer:2.79e-8 (unfavourable), Liver cancer:2.34e-6 (unfavourable), Colorectal cancer:5.33e-4 (unfavourable)	Expressed in all	Expressed in all			duodenum: 63.1	Expressed in all		
PTPN6	HCP, HCPH, PTP-1C, SHP-1, SHP1	ENSG00000111679	Protein tyrosine phosphatase, non-receptor type 6	12	6946468-6961316	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001466, CAB004572, CAB072845	Enhanced		Supported	Nucleus<br>Nucleoli	Urothelial cancer:2.64e-8 (favourable), Cervical cancer:1.87e-4 (favourable), Colorectal cancer:5.42e-4 (unfavourable), Endometrial cancer:6.65e-4 (favourable)	Expressed in all	Mixed			lymph node: 161.5	Cell line enhanced		HEL: 143.6;HMC-1: 527.9;THP-1: 163.9
GAL3ST4	FLJ12116	ENSG00000197093	Galactose-3-O-sulfotransferase 4	7	100159244-100168750	Predicted membrane proteins	Evidence at protein level	HPA038137, HPA038138	Uncertain		Approved	Nucleoplasm<br>Cytosol	Ovarian cancer:2.57e-4 (unfavourable), Renal cancer:4.14e-4 (unfavourable), Colorectal cancer:5.44e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 32.6	smooth muscle: 14.7	Cell line enhanced		WM-115: 42.3
TMEM185B	FAM11B, FLJ20979	ENSG00000226479	Transmembrane protein 185B	2	120221278-120223408	Predicted membrane proteins	Evidence at protein level	HPA048295, HPA071744	Uncertain		Approved	Endoplasmic reticulum	Liver cancer:5.71e-7 (unfavourable), Endometrial cancer:4.96e-6 (unfavourable), Colorectal cancer:5.44e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 62.6	Mixed		
COQ10A	FLJ32452	ENSG00000135469	Coenzyme Q10A	12	56266858-56270966	Predicted intracellular proteins	Evidence at protein level	HPA068931			Approved	Endoplasmic reticulum<br>Golgi apparatus<br>Cytosol	Pancreatic cancer:2.06e-4 (favourable), Renal cancer:3.44e-4 (favourable), Colorectal cancer:5.46e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 97.2	Expressed in all		
SMARCD3	BAF60C, CRACD3, Rsc6p	ENSG00000082014	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	7	151238764-151277896	Predicted intracellular proteins	Evidence at protein level	HPA063955, HPA065517	Uncertain		Enhanced	Nucleoplasm	Colorectal cancer:5.50e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 82.7	Cell line enhanced		AN3-CA: 63.9
UBTD1	FLJ11807	ENSG00000165886	Ubiquitin domain containing 1	10	97498868-97571209	Predicted intracellular proteins	Evidence at protein level	HPA034825	Uncertain		Approved	Vesicles<br>Plasma membrane<br>Cytosol	Colorectal cancer:5.54e-4 (unfavourable)	Expressed in all	Mixed			testis: 34.0	Mixed		
TLN1	ILWEQ, TLN	ENSG00000137076	Talin 1	9	35696948-35732395	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB002006, HPA004748	Supported		Supported	Plasma membrane<br>Focal adhesion sites<br>Microtubule organizing center<br>Cytosol	Colorectal cancer:5.56e-4 (unfavourable), Renal cancer:7.21e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 204.8	Expressed in all		
NEXN	NELIN, nexilin	ENSG00000162614	Nexilin F-actin binding protein	1	77888513-77943895	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA011185	Approved				Colorectal cancer:5.60e-4 (unfavourable)	Mixed	Tissue enhanced		heart muscle: 298.6;skeletal muscle: 248.9	prostate: 109.6	Cell line enhanced		BJ: 129.6;LHCN-M2: 116.4;RH-30: 106.0
RGCC	bA157L14.2, C13orf15, RGC-32, RGC32	ENSG00000102760	Regulator of cell cycle	13	41457559-41470882	Predicted secreted proteins	Evidence at protein level	HPA035638, HPA063701	Approved		Supported	Nucleus<br>Nucleoli	Colorectal cancer:5.60e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 409.0	Cell line enhanced		BJ hTERT+: 255.6;Daudi: 75.1;U-698: 75.7
ADAP2	CENTA2	ENSG00000184060	ArfGAP with dual PH domains 2	17	30906344-30959322	Predicted intracellular proteins	Evidence at protein level						Renal cancer:2.36e-6 (unfavourable), Liver cancer:3.12e-4 (unfavourable), Head and neck cancer:3.97e-4 (favourable), Colorectal cancer:5.62e-4 (unfavourable)	Expressed in all	Mixed			spleen: 29.3	Cell line enhanced		HAP1: 17.5;HEK 293: 9.1;RPMI-8226: 15.4
CRTC2	TORC2	ENSG00000160741	CREB regulated transcription coactivator 2	1	153947669-153958625	Predicted intracellular proteins	Evidence at protein level	HPA028454, HPA028465	Supported		Enhanced	Nucleoplasm	Renal cancer:1.35e-7 (unfavourable), Urothelial cancer:6.12e-5 (favourable), Colorectal cancer:5.75e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 36.0	Expressed in all		
FES	FPS	ENSG00000182511	FES proto-oncogene, tyrosine kinase	15	90883695-90895776	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001376	Approved		Approved	Nucleus<br>Vesicles<br>Cytosol	Colorectal cancer:5.78e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 96.5	Cell line enhanced		HEL: 56.3;HL-60: 45.0;HMC-1: 100.9;NB-4: 46.6;THP-1: 73.8
FLOT1		ENSG00000137312	Flotillin 1	6	30727709-30742733	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA001393, CAB007766	Enhanced		Approved	Golgi apparatus<br>Vesicles<br>Plasma membrane	Renal cancer:1.49e-4 (unfavourable), Ovarian cancer:3.06e-4 (favourable), Colorectal cancer:5.78e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 18.9	Expressed in all		
NFATC4	NFAT3	ENSG00000100968	Nuclear factor of activated T-cells 4	14	24365673-24379604	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031641, CAB032859, HPA076526	Uncertain		Supported	Nuclear speckles<br>Cytosol	Renal cancer:1.81e-6 (unfavourable), Colorectal cancer:5.84e-4 (unfavourable)	Expressed in all	Mixed			endometrium: 75.9	Cell line enhanced		BJ hTERT+: 80.5
DNAJC17	FLJ10634	ENSG00000104129	DnaJ heat shock protein family (Hsp40) member C17	15	40765155-40807478	Predicted intracellular proteins	Evidence at protein level	HPA040914, HPA041187	Approved		Approved	Nucleoplasm	Colorectal cancer:5.89e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 24.4	Expressed in all		
HSD3B7	C(27)-3BETA-HSD, SDR11E3	ENSG00000099377	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	16	30985207-30989152	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA050521, HPA060847	Uncertain		Supported	Lipid droplets	Renal cancer:1.60e-6 (unfavourable), Colorectal cancer:5.95e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 21.9	Cell line enhanced		HDLM-2: 83.9;HMC-1: 85.9;U-2197: 89.0
STK25	SOK1, YSK1	ENSG00000115694	Serine/threonine kinase 25	2	241492674-241509730	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA047147	Uncertain				Liver cancer:3.91e-8 (unfavourable), Colorectal cancer:6.03e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 168.2	Expressed in all		
GPSM1	AGS3, DKFZP727I051	ENSG00000160360	G-protein signaling modulator 1	9	136327476-136359605	Predicted intracellular proteins	Evidence at protein level	HPA042199	Uncertain		Supported	Nucleoplasm<br>Golgi apparatus	Renal cancer:3.30e-4 (unfavourable), Colorectal cancer:6.07e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 28.4	Cell line enhanced		REH: 73.8
RAB3IL1	GRAB	ENSG00000167994	RAB3A interacting protein like 1	11	61897301-61920269	Predicted intracellular proteins	Evidence at protein level	HPA039723	Uncertain		Approved	Cytosol	Liver cancer:1.61e-7 (unfavourable), Renal cancer:1.49e-4 (unfavourable), Thyroid cancer:3.30e-4 (unfavourable), Colorectal cancer:6.08e-4 (unfavourable)	Expressed in all	Mixed			testis: 48.7	Cell line enhanced		K-562: 39.5;U-2197: 52.9
PHF21A	BHC80, BM-006, KIAA1696	ENSG00000135365	PHD finger protein 21A	11	45929323-46121178	Predicted intracellular proteins	Evidence at protein level	HPA023580	Uncertain				Renal cancer:2.59e-8 (unfavourable), Liver cancer:1.66e-6 (unfavourable), Colorectal cancer:6.15e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 43.7	Expressed in all		
GBGT1	A3GALNT, FS, MGC44848, UDP-GalNAc	ENSG00000148288	Globoside alpha-1,3-N-acetylgalactosaminyltransferase 1	9	133152948-133163945	Predicted secreted proteins	Evidence at protein level	HPA051298	Approved				Renal cancer:3.46e-5 (unfavourable), Colorectal cancer:6.22e-4 (unfavourable)	Expressed in all	Mixed			placenta: 15.6	Cell line enhanced		HEL: 53.1;HMC-1: 47.0
PTRF	cavin-1, CAVIN1	ENSG00000177469	Polymerase I and transcript release factor	17	42402452-42423517	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA049838, HPA074213	Supported		Supported	Vesicles<br>Plasma membrane	Urothelial cancer:5.87e-4 (unfavourable), Ovarian cancer:5.92e-4 (unfavourable), Colorectal cancer:6.36e-4 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 343.1	Cell line enhanced		BJ: 868.3;U-138 MG: 835.1
PLPPR2	LPPR2, PRG-4	ENSG00000105520	Phospholipid phosphatase related 2	19	11355386-11365698	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA048973	Uncertain		Approved	Nucleoplasm	Renal cancer:7.46e-11 (unfavourable), Colorectal cancer:6.45e-4 (unfavourable), Pancreatic cancer:6.82e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 77.2	Cell line enhanced		U-2197: 88.4
MARCH2	HSPC240, MARCH-II, RNF172	ENSG00000099785	Membrane associated ring-CH-type finger 2	19	8413270-8439017	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA014063	Approved		Approved	Cytosol	Endometrial cancer:1.05e-5 (favourable), Pancreatic cancer:6.21e-4 (favourable), Colorectal cancer:6.48e-4 (unfavourable), Head and neck cancer:8.29e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 64.8	Mixed		
TOR4A	C9orf167, FLJ20245	ENSG00000198113	Torsin family 4 member A	9	137277749-137282641	Predicted intracellular proteins	Evidence at protein level	HPA044913	Enhanced		Approved	Nucleoplasm	Liver cancer:3.44e-4 (unfavourable), Colorectal cancer:6.48e-4 (unfavourable)	Expressed in all	Mixed			stomach: 11.5	Mixed		
SOX13	ICA12, MGC117216, Sox-13	ENSG00000143842	SRY-box 13	1	204073115-204127743	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051790, HPA054843			Enhanced	Nucleoplasm	Colorectal cancer:6.49e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 53.8	Cell line enhanced		SK-BR-3: 103.3
EBF4	COE4, KIAA1442, O/E-4, RP5-860F19.3	ENSG00000088881	Early B-cell factor 4	20	2692878-2760108	Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Pancreatic cancer:2.47e-5 (favourable), Colorectal cancer:6.59e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 23.7	Cell line enhanced		SH-SY5Y: 15.8
PTOV1		ENSG00000104960	Prostate tumor overexpressed 1	19	49850735-49860744	Predicted intracellular proteins	Evidence at protein level	HPA051812, HPA075125	Approved		Supported	Nucleus	Colorectal cancer:6.64e-4 (unfavourable), Pancreatic cancer:9.20e-4 (favourable)	Expressed in all	Expressed in all			adrenal gland: 59.4	Expressed in all		
RUBCN	KIAA0226, rubicon, rundataxin	ENSG00000145016	RUN and cysteine rich domain containing beclin 1 interacting protein	3	197671393-197749727	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA050908, HPA054497	Approved		Supported	Vesicles<br>Cytosol	Liver cancer:9.91e-5 (unfavourable), Prostate cancer:1.62e-4 (unfavourable), Colorectal cancer:6.65e-4 (unfavourable)	Expressed in all	Expressed in all			spleen,testis: 24.3	Expressed in all		
TPBG	5T4, 5T4-AG	ENSG00000146242	Trophoblast glycoprotein	6	82363206-82370828	Predicted membrane proteins	Evidence at protein level	HPA010554	Enhanced		Approved	Nucleoplasm	Colorectal cancer:6.68e-4 (unfavourable)	Expressed in all	Mixed			cervix, uterine: 17.4	Cell line enhanced		hTEC/SVTERT24-B: 64.9
TBC1D8	AD3, GRAMD8, HBLP1, VRP	ENSG00000204634	TBC1 domain family member 8	2	101007617-101252866	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB015211, HPA037496	Uncertain		Supported	Nucleus	Colorectal cancer:6.73e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 45.1	Cell line enhanced		ASC diff: 59.6
