Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
DDX5	G17P1, HLR1, p68	ENSG00000108654	DEAD-box helicase 5	17	64499616-64508199	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB005868, HPA020043	Supported		Enhanced	Nucleoplasm	Colorectal cancer:2.12e-4 (favourable)	Expressed in all	Expressed in all			smooth muscle: 599.5	Expressed in all		
HIGD1A	DKFZP564K247, HIG1, RCF1A	ENSG00000181061	HIG1 hypoxia inducible domain family member 1A	3	42784298-42804531	Predicted membrane proteins	Evidence at protein level	HPA043336	Approved		Supported	Nucleoplasm<br>Mitochondria	Renal cancer:3.99e-8 (favourable), Colorectal cancer:2.12e-4 (favourable)	Expressed in all	Expressed in all			rectum: 328.9	Expressed in all		
CCDC47	GK001	ENSG00000108588	Coiled-coil domain containing 47	17	63745250-63776351	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA029674, HPA072573	Approved		Enhanced	Endoplasmic reticulum	Colorectal cancer:2.17e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 161.4	Expressed in all		
MCM4	CDC21, CDC54, hCdc21, MGC33310, P1-Cdc21	ENSG00000104738	Minichromosome maintenance complex component 4	8	47960185-47978160	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004497, HPA004873, HPA031052	Supported		Enhanced	Nucleoplasm	Endometrial cancer:2.84e-5 (unfavourable), Melanoma:1.15e-4 (unfavourable), Liver cancer:1.23e-4 (unfavourable), Colorectal cancer:2.19e-4 (favourable), Pancreatic cancer:2.38e-4 (unfavourable), Renal cancer:2.61e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 78.6	Expressed in all		
ACTR8	INO80N	ENSG00000113812	ARP8 actin-related protein 8 homolog	3	53867066-53882202	Predicted intracellular proteins	Evidence at protein level	HPA065236			Supported	Nucleus<br>Centrosome	Renal cancer:7.88e-9 (favourable), Liver cancer:5.11e-6 (unfavourable), Colorectal cancer:2.21e-4 (favourable)	Expressed in all	Expressed in all			testis: 39.5	Expressed in all		
KIF9	MGC104186	ENSG00000088727	Kinesin family member 9	3	47228026-47283451	Predicted intracellular proteins	Evidence at protein level	HPA022031, HPA022033, HPA030429	Approved		Approved	Nucleus<br>Nucleoli	Renal cancer:5.95e-6 (favourable), Colorectal cancer:2.26e-4 (favourable)	Expressed in all	Expressed in all			testis: 87.6	Expressed in all		
FAR1	FLJ22728, MLSTD2, SDR10E1	ENSG00000197601	Fatty acyl-CoA reductase 1	11	13668670-13732346	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA017322	Approved		Enhanced	Peroxisomes	Colorectal cancer:2.27e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 58.9	Mixed		
XPO7	KIAA0745, RANBP16	ENSG00000130227	Exportin 7	8	21919671-22006585	Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA043727, HPA048153	Uncertain		Approved	Nucleus	Colorectal cancer:2.29e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 78.8	Expressed in all		
B3GNT6	B3Gn-T6	ENSG00000198488	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	11	77034398-77041973	Enzymes, Predicted secreted proteins	Evidence at protein level	HPA012158, HPA039805	Enhanced	Approved			Colorectal cancer:2.31e-4 (favourable)	Group enriched	Tissue enhanced		colon: 21.7;rectum: 18.2;stomach: 23.5	small intestine: 7.9	Not detected		
ADSL		ENSG00000239900	Adenylosuccinate lyase	22	40346500-40390463	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA000525, CAB019285	Enhanced		Enhanced	Cytosol	Liver cancer:5.81e-8 (unfavourable), Colorectal cancer:2.38e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 127.3	Expressed in all		
CXXC5	HSPC195, RINF, WID	ENSG00000171604	CXXC finger protein 5	5	139647299-139683882	Predicted intracellular proteins	Evidence at protein level	HPA036508, HPA058148	Approved		Enhanced	Nucleoplasm<br>Cytosol	Endometrial cancer:4.10e-7 (unfavourable), Colorectal cancer:2.40e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 99.3	Expressed in all		
ACTG1	ACTG, DFNA20, DFNA26	ENSG00000184009	Actin gamma 1	17	81509971-81523847	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041264, HPA041271	Approved				Colorectal cancer:2.41e-4 (favourable)	Expressed in all	Expressed in all			ovary: 2397.0	Expressed in all		
DEPDC1B	BRCC3, XTP1	ENSG00000035499	DEP domain containing 1B	5	60596912-60700190	Predicted intracellular proteins	Evidence at protein level	HPA038255, HPA072558	Approved		Approved	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Lung cancer:6.93e-5 (unfavourable), Colorectal cancer:2.42e-4 (favourable), Liver cancer:3.08e-4 (unfavourable), Endometrial cancer:8.55e-4 (unfavourable)	Expressed in all	Tissue enhanced		gallbladder: 33.0;testis: 22.6	lymph node: 10.8	Mixed		
CDC25C	CDC25, PPP1R60	ENSG00000158402	Cell division cycle 25C	5	138285265-138338355	Cancer-related genes, Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB003800, HPA066991	Approved		Supported	Nuclear speckles	Liver cancer:3.03e-6 (unfavourable), Colorectal cancer:2.49e-4 (favourable), Lung cancer:4.38e-4 (unfavourable)	Mixed	Tissue enriched	7	testis: 31.8	rectum: 4.4	Mixed		
BCL10	c-E10, CARMEN, CIPER, CLAP, mE10	ENSG00000142867	B-cell CLL/lymphoma 10	1	85266248-85277090	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB001944, HPA017925	Approved		Approved	Nucleoplasm	Liver cancer:7.21e-7 (unfavourable), Colorectal cancer:2.51e-4 (favourable)	Expressed in all	Expressed in all			gallbladder: 30.5	Expressed in all		
SRSF3	SFRS3, SRp20	ENSG00000112081	Serine and arginine rich splicing factor 3	6	36594353-36605600	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB012986, HPA056981	Supported		Supported	Nucleoplasm	Liver cancer:6.22e-5 (unfavourable), Ovarian cancer:1.37e-4 (favourable), Melanoma:1.95e-4 (unfavourable), Renal cancer:2.02e-4 (unfavourable), Colorectal cancer:2.56e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 139.5	Expressed in all		
LRRC59	FLJ21675, PRO1855	ENSG00000108829	Leucine rich repeat containing 59	17	50375059-50397553	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA030827, HPA030829	Enhanced		Enhanced	Endoplasmic reticulum	Renal cancer:1.19e-6 (unfavourable), Liver cancer:3.12e-6 (unfavourable), Head and neck cancer:1.00e-5 (unfavourable), Urothelial cancer:1.90e-5 (unfavourable), Colorectal cancer:2.60e-4 (favourable), Pancreatic cancer:6.87e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 92.0	Expressed in all		
ATP8B1	ATPIC, BRIC, FIC1, PFIC, PFIC1	ENSG00000081923	ATPase phospholipid transporting 8B1	18	57646426-57803101	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA018673, HPA018674	Enhanced				Colorectal cancer:2.60e-4 (favourable), Renal cancer:6.35e-4 (favourable)	Expressed in all	Expressed in all			colon: 94.6	Cell line enhanced		RT4: 171.8
NT5DC1	dJ486I3.1, MGC24302, NT5C2L1	ENSG00000178425	5'-nucleotidase domain containing 1	6	116100849-116249497	Predicted intracellular proteins	Evidence at protein level	HPA030352	Uncertain				Renal cancer:7.49e-7 (favourable), Colorectal cancer:2.61e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 47.2	Expressed in all		
TTC37	KIAA0372, THES	ENSG00000198677	Tetratricopeptide repeat domain 37	5	95463895-95555007	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA037905	Approved		Supported	Nucleoplasm<br>Cytosol	Colorectal cancer:2.62e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 82.3	Expressed in all		
ZNF552	FLJ21603	ENSG00000178935	Zinc finger protein 552	19	57803841-57814913	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043800, HPA053762, HPA072145	Uncertain		Uncertain	Nucleus	Colorectal cancer:2.66e-4 (favourable), Breast cancer:4.57e-4 (favourable), Head and neck cancer:9.96e-4 (favourable)	Expressed in all	Mixed			breast: 33.9	Expressed in all		
SYTL2	CHR11SYT, exophilin-4, FLJ20163, FLJ21219, KIAA1597, MGC102768, PPP1R151, SGA72M, SLP2	ENSG00000137501	Synaptotagmin like 2	11	85694224-85811159	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA039651	Approved		Approved	Nucleus<br>Golgi apparatus<br>Plasma membrane	Colorectal cancer:2.67e-4 (favourable), Urothelial cancer:9.07e-4 (favourable)	Mixed	Tissue enhanced		stomach: 120.5	rectum: 81.4	Cell line enhanced		RH-30: 170.2;RPTEC TERT1: 95.1
ZW10	KNTC1AP	ENSG00000086827	Zw10 kinetochore protein	11	113733187-113773811	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB011565, HPA051253, HPA055410	Enhanced		Supported	Endoplasmic reticulum<br>Cytosol	Colorectal cancer:2.70e-4 (favourable), Liver cancer:8.57e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 23.4	Expressed in all		
RAB11FIP4	FLJ00131, KIAA1821, MGC11316, RAB11-FIP4	ENSG00000131242	RAB11 family interacting protein 4	17	31391624-31538217	Predicted intracellular proteins	Evidence at protein level	HPA021595	Approved				Renal cancer:7.74e-8 (favourable), Stomach cancer:1.22e-4 (favourable), Colorectal cancer:2.70e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 67.9	testis: 42.4	Cell line enhanced		BEWO: 62.0;HMC-1: 36.4
ZNF792	FLJ38451	ENSG00000180884	Zinc finger protein 792	19	34956354-34964049	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035157, HPA035158	Supported		Approved	Nucleoplasm<br>Nuclear bodies	Colorectal cancer:2.72e-4 (favourable)	Expressed in all	Mixed			lung: 6.2	Cell line enhanced		HEL: 11.5;HMC-1: 14.3;SH-SY5Y: 11.1
STK10	LOK, PRO2729	ENSG00000072786	Serine/threonine kinase 10	5	172042073-172188386	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA015083, CAB020840	Enhanced				Renal cancer:1.63e-4 (unfavourable), Colorectal cancer:2.76e-4 (favourable)	Expressed in all	Expressed in all			spleen: 61.0	Expressed in all		
IL18	IGIF, IL-18, IL-1g, IL1F4	ENSG00000150782	Interleukin 18	11	112143251-112164117	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA003980, CAB007772	Enhanced		Approved	Nucleus<br>Golgi apparatus<br>Cytosol	Colorectal cancer:2.78e-4 (favourable)	Expressed in all	Tissue enhanced		esophagus: 133.0;skin: 171.5	lymph node: 71.9	Cell line enhanced		CAPAN-2: 155.6;HaCaT: 143.7;hTCEpi: 132.7;U-2 OS: 214.0
NUDCD2	DKFZp686E10109, NudCL2	ENSG00000170584	NudC domain containing 2	5	163446526-163460140	Predicted intracellular proteins	Evidence at protein level	HPA037384, HPA037385	Uncertain				Colorectal cancer:2.80e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 24.6	Expressed in all		
JAK1	JAK1A, JAK1B, JTK3	ENSG00000162434	Janus kinase 1	1	64833229-64966504	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB013088	Approved				Renal cancer:2.67e-4 (favourable), Colorectal cancer:2.81e-4 (favourable), Breast cancer:9.63e-4 (favourable)	Expressed in all	Expressed in all			lymph node: 115.6	Expressed in all		
ZNF207		ENSG00000010244	Zinc finger protein 207	17	32350117-32381886	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA017013, HPA063908	Enhanced		Enhanced	Nucleus	Renal cancer:4.17e-8 (unfavourable), Liver cancer:7.30e-8 (unfavourable), Colorectal cancer:2.81e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 151.3	Expressed in all		
SHQ1	FLJ10539, Shq1p	ENSG00000144736	SHQ1, H/ACA ribonucleoprotein assembly factor	3	72749277-72861914	Predicted intracellular proteins	Evidence at protein level	HPA042792	Uncertain		Supported	Nucleoplasm	Colorectal cancer:2.83e-4 (favourable), Endometrial cancer:6.49e-4 (favourable)	Expressed in all	Expressed in all			testis: 18.0	Expressed in all		
STX18	Ufe1	ENSG00000168818	Syntaxin 18	4	4415742-4542346	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA003019	Approved		Approved	Plasma membrane	Endometrial cancer:6.33e-8 (favourable), Colorectal cancer:2.84e-4 (favourable), Urothelial cancer:4.69e-4 (favourable), Renal cancer:7.03e-4 (favourable)	Expressed in all	Expressed in all			cervix, uterine: 180.1	Expressed in all		
AGGF1	FLJ10283, GPATC7, GPATCH7, HSU84971, VG5Q	ENSG00000164252	Angiogenic factor with G-patch and FHA domains 1	5	77029251-77065234	Disease related genes, Predicted intracellular proteins	Evidence at protein level						Colorectal cancer:2.87e-4 (favourable)	Expressed in all	Expressed in all			testis: 33.8	Mixed		
CLINT1	CLINT, ENTH, EPNR, KIAA0171	ENSG00000113282	Clathrin interactor 1	5	157785743-157859175	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA043280, HPA056947	Supported		Supported	Nucleoplasm<br>Vesicles	Renal cancer:8.88e-5 (favourable), Colorectal cancer:2.95e-4 (favourable), Thyroid cancer:6.77e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 171.0	Expressed in all		
CLCA1	CaCC, CLCRG1	ENSG00000016490	Chloride channel accessory 1	1	86468368-86500289	Predicted secreted proteins, Transporters	Evidence at protein level	HPA052787, HPA059301	Enhanced				Colorectal cancer:2.98e-4 (favourable)	Group enriched	Group enriched	8	colon: 699.6;duodenum: 882.2;rectum: 1126.3;small intestine: 1522.4	appendix: 133.7	Cell line enhanced		BEWO: 1.9;NB-4: 1.5;RPMI-8226: 1.8;SH-SY5Y: 1.9;U-2197: 1.3
CCL22	A-152E5.1, ABCD-1, DC/B-CK, MDC, MGC34554, SCYA22, STCP-1	ENSG00000102962	C-C motif chemokine ligand 22	16	57358772-57366190	Predicted secreted proteins	Evidence at protein level						Endometrial cancer:2.23e-6 (favourable), Head and neck cancer:9.17e-5 (favourable), Colorectal cancer:2.98e-4 (favourable)	Mixed	Tissue enhanced		appendix: 18.6;tonsil: 13.5	skin: 7.9	Cell line enriched	21	HDLM-2: 45.9
THUMPD1	FLJ20274, Tan1	ENSG00000066654	THUMP domain containing 1	16	20702816-20742084	Predicted intracellular proteins	Evidence at protein level	HPA027851	Approved		Approved	Cytosol	Renal cancer:8.52e-8 (favourable), Colorectal cancer:2.99e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 68.5	Expressed in all		
MANEA	FLJ12838, mandaselin	ENSG00000172469	Mannosidase endo-alpha	6	95577543-95609457	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011046, HPA011069	Enhanced		Supported	Golgi apparatus	Colorectal cancer:3.04e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 19.4	Expressed in all		
RHOA	ARH12, ARHA, Rho12, RhoA, RHOH12	ENSG00000067560	Ras homolog family member A	3	49359145-49412998	Cancer-related genes, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB005052	Approved				Renal cancer:3.21e-6 (favourable), Colorectal cancer:3.08e-4 (favourable), Liver cancer:9.15e-4 (unfavourable)	Expressed in all	Expressed in all			lung: 592.0	Expressed in all		
KIF15	HKLP2, KNSL7, NY-BR-62	ENSG00000163808	Kinesin family member 15	3	44761717-44873376	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA035516, HPA035517	Approved				Colorectal cancer:3.12e-4 (favourable)	Mixed	Tissue enhanced		testis: 14.2	bone marrow: 3.1	Mixed		
GDE1	MIR16	ENSG00000006007	Glycerophosphodiester phosphodiesterase 1	16	19501689-19522145	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA074747			Approved	Nucleus<br>Nucleoli<br>Vesicles	Renal cancer:3.12e-5 (favourable), Liver cancer:7.52e-5 (unfavourable), Colorectal cancer:3.12e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 67.9	Expressed in all		
TTC12	FLJ13859, FLJ20535, TPARM	ENSG00000149292	Tetratricopeptide repeat domain 12	11	113314529-113383544	Predicted intracellular proteins	Evidence at protein level	HPA038542, HPA038543, HPA061364	Approved		Approved	Nucleoplasm	Endometrial cancer:2.48e-5 (favourable), Renal cancer:5.95e-5 (favourable), Colorectal cancer:3.14e-4 (favourable)	Expressed in all	Expressed in all			testis: 92.4	Cell line enhanced		SiHa: 27.4
DTWD2	FLJ33977	ENSG00000169570	DTW domain containing 2	5	118837322-118988545	Predicted intracellular proteins	Evidence at protein level	HPA053173, HPA054864	Approved		Supported	Nuclear bodies	Renal cancer:6.09e-5 (favourable), Colorectal cancer:3.16e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 18.7	Mixed		
VPS25	DERP9, EAP20, MGC10540	ENSG00000131475	Vacuolar protein sorting 25 homolog	17	42773436-42779599	Predicted intracellular proteins	Evidence at protein level	CAB004978, HPA052217, HPA057284	Uncertain		Approved	Centrosome	Colorectal cancer:3.18e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 93.3	Expressed in all		
FOCAD	FLJ20375, KIAA1797	ENSG00000188352	Focadhesin	9	20658309-20995955	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA055015	Uncertain		Uncertain	Mitochondria	Renal cancer:3.09e-8 (favourable), Liver cancer:4.41e-5 (unfavourable), Colorectal cancer:3.25e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 34.2	Mixed		
CD24	CD24A	ENSG00000272398	CD24 molecule	6	106969831-106975627	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA045879, CAB078471			Supported	Vesicles	Breast cancer:2.44e-5 (unfavourable), Colorectal cancer:3.29e-4 (favourable), Liver cancer:7.58e-4 (unfavourable)	Expressed in all	Tissue enhanced		thyroid gland: 2706.1	esophagus: 1402.0	Cell line enhanced		NTERA-2: 984.0;RPTEC TERT1: 3501.8;SK-BR-3: 1014.5
UQCRFS1	RIP1, RIS1, RISP, UQCR5	ENSG00000169021	Ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	19	29205321-29213541	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA041863, HPA050339	Enhanced		Enhanced	Mitochondria	Renal cancer:3.92e-9 (favourable), Colorectal cancer:3.29e-4 (favourable), Ovarian cancer:3.84e-4 (unfavourable)	Expressed in all	Expressed in all			skeletal muscle: 70.9	Expressed in all		
UGT2A3	FLJ21934	ENSG00000135220	UDP glucuronosyltransferase family 2 member A3	4	68928463-68951791	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA045108	Supported				Renal cancer:6.07e-7 (favourable), Colorectal cancer:3.31e-4 (favourable)	Tissue enriched	Tissue enhanced		duodenum: 82.1;gallbladder: 46.3;kidney: 46.8;small intestine: 85.9	rectum: 23.9	Cell line enriched	8	Hep G2: 13.5
UTP18	CGI-48, WDR50	ENSG00000011260	UTP18, small subunit processome component	17	51260528-51297936	Predicted intracellular proteins	Evidence at protein level	HPA052378	Approved		Supported	Nucleus<br>Nuclear membrane<br>Nucleoli	Liver cancer:1.99e-4 (unfavourable), Colorectal cancer:3.33e-4 (favourable)	Expressed in all	Expressed in all			testis: 106.1	Expressed in all		
SMARCC1	BAF155, CRACC1, Rsc8, SRG3	ENSG00000173473	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	3	47585272-47782106	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	CAB011576, CAB016336, HPA024352, HPA026853	Enhanced		Enhanced	Nucleoplasm	Colorectal cancer:3.34e-4 (favourable), Liver cancer:3.37e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 36.1	Expressed in all		
MMAA	cblA	ENSG00000151611	Methylmalonic aciduria (cobalamin deficiency) cblA type	4	145618263-145660035	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA037361	Approved		Approved	Cytosol	Renal cancer:2.23e-5 (favourable), Urothelial cancer:3.21e-4 (favourable), Colorectal cancer:3.38e-4 (favourable)	Expressed in all	Mixed			liver: 12.3	Mixed		
HDAC3	HD3, RPD3, RPD3-2	ENSG00000171720	Histone deacetylase 3	5	141620876-141636870	Enzymes, FDA approved drug targets, Predicted intracellular proteins	Evidence at protein level	CAB005583, HPA052052	Supported		Supported	Nucleoplasm<br>Golgi apparatus	Renal cancer:2.65e-6 (unfavourable), Colorectal cancer:3.39e-4 (favourable), Pancreatic cancer:3.95e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 52.1	Expressed in all		
ZDHHC3	GODZ, ZNF373	ENSG00000163812	Zinc finger DHHC-type containing 3	3	44915257-44976185	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB012465, HPA016616	Approved		Approved	Golgi apparatus	Renal cancer:1.81e-8 (favourable), Liver cancer:1.37e-4 (unfavourable), Colorectal cancer:3.43e-4 (favourable)	Expressed in all	Expressed in all			skin,testis: 65.5	Expressed in all		
LPCAT2	AGPAT11, AYTL1, FLJ20481, LysoPAFAT	ENSG00000087253	Lysophosphatidylcholine acyltransferase 2	16	55508998-55586670	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA007891, HPA008433	Enhanced	Supported	Enhanced	Endoplasmic reticulum<br>Lipid droplets	Endometrial cancer:8.03e-6 (favourable), Colorectal cancer:3.43e-4 (favourable)	Expressed in all	Tissue enhanced		thyroid gland: 142.6	bone marrow: 56.4	Cell line enhanced		CAPAN-2: 100.9;HMC-1: 141.4;WM-115: 114.8
BCLAF1	BTF, KIAA0164	ENSG00000029363	BCL2 associated transcription factor 1	6	136256627-136289851	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006484, HPA006669, HPA027770	Enhanced		Enhanced	Nuclear speckles	Breast cancer:1.64e-4 (unfavourable), Colorectal cancer:3.44e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 88.4	Expressed in all		
CLDN23	CLDNL	ENSG00000253958	Claudin 23	8	8701938-8704106	Predicted membrane proteins, Transporters	Evidence at protein level	HPA070578			Uncertain	Nucleus<br>Plasma membrane	Renal cancer:9.65e-8 (favourable), Colorectal cancer:3.46e-4 (favourable)	Expressed in all	Tissue enhanced		colon: 23.7;stomach: 24.5	small intestine: 16.5	Cell line enhanced		BEWO: 7.4
PPM1D	PP2C-DELTA, Wip1	ENSG00000170836	Protein phosphatase, Mg2+/Mn2+ dependent 1D	17	60600183-60666280	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA022277	Uncertain		Approved	Endoplasmic reticulum	Colorectal cancer:3.52e-4 (favourable), Liver cancer:4.27e-4 (unfavourable)	Expressed in all	Mixed			testis: 9.6	Expressed in all		
CCL4	Act-2, AT744.1, LAG1, MIP-1-beta, SCYA4	ENSG00000275302	C-C motif chemokine ligand 4	17	36103590-36105621	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB007805	Approved				Endometrial cancer:1.97e-5 (favourable), Renal cancer:1.68e-4 (unfavourable), Colorectal cancer:3.54e-4 (favourable), Melanoma:3.97e-4 (favourable)	Expressed in all	Tissue enhanced		spleen: 24.8	lymph node: 17.6	Group enriched	22	Karpas-707: 2.2;U-266/70: 5.1;U-266/84: 2.4
SEC23A		ENSG00000100934	Sec23 homolog A, coat complex II component	14	39031919-39109646	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA043806, HPA069974	Uncertain		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.69e-4 (unfavourable), Stomach cancer:2.94e-4 (unfavourable), Colorectal cancer:3.56e-4 (favourable), Cervical cancer:5.75e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 140.0	Expressed in all		
CHEK1	CHK1	ENSG00000149554	Checkpoint kinase 1	11	125625136-125676255	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA044364			Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.04e-8 (unfavourable), Pancreatic cancer:3.10e-6 (unfavourable), Liver cancer:3.70e-6 (unfavourable), Colorectal cancer:3.62e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 62.5;seminal vesicle: 52.6	testis: 22.1	Expressed in all		
MCCC2	MCCB	ENSG00000131844	Methylcrotonoyl-CoA carboxylase 2	5	71587288-71658704	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA038300, HPA038301, HPA061546	Enhanced		Enhanced	Mitochondria	Renal cancer:6.43e-8 (favourable), Liver cancer:1.70e-4 (favourable), Colorectal cancer:3.62e-4 (favourable)	Expressed in all	Expressed in all			prostate: 77.2	Mixed		
KIAA1143		ENSG00000163807	KIAA1143	3	44737661-44761662	Predicted intracellular proteins	Evidence at protein level	HPA045018, HPA061799	Approved		Approved	Nucleus<br>Cytokinetic bridge	Renal cancer:3.26e-6 (favourable), Colorectal cancer:3.65e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 15.0	Expressed in all		
PHKB		ENSG00000102893	Phosphorylase kinase regulatory subunit beta	16	47461123-47701523	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA073380			Approved	Golgi apparatus	Renal cancer:3.89e-9 (favourable), Thyroid cancer:3.24e-4 (unfavourable), Colorectal cancer:3.69e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 99.3	Expressed in all		
IDE		ENSG00000119912	Insulin degrading enzyme	10	92451684-92574076	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA063478	Approved				Endometrial cancer:3.53e-4 (favourable), Colorectal cancer:3.69e-4 (favourable)	Expressed in all	Expressed in all			skin: 63.4	Expressed in all		
KPNA2	IPOA1, QIP2, RCH1, SRP1alpha	ENSG00000182481	Karyopherin subunit alpha 2	17	68035519-68046842	Plasma proteins, Predicted intracellular proteins, Transporters	Evidence at protein level	CAB015460, HPA041270	Enhanced		Enhanced	Nucleoplasm<br>Cytosol	Renal cancer:1.26e-13 (unfavourable), Liver cancer:2.12e-10 (unfavourable), Urothelial cancer:2.19e-4 (unfavourable), Colorectal cancer:3.83e-4 (favourable), Lung cancer:5.77e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 349.5	Expressed in all		
LYSMD3	FLJ13542	ENSG00000176018	LysM domain containing 3	5	90515611-90529584	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA018024	Approved		Approved	Cytosol	Colorectal cancer:3.83e-4 (favourable), Renal cancer:9.25e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 39.7	Expressed in all		
